以前	MOD_ON_OR_BEFORE
まで	made
迄	made
より前	MOD_BEFORE
以降	MOD_ON_OR_AFTER
より後	MOD_AFTER
~	kara_suffix
〜	kara_suffix
～	kara_suffix
-	kara_suffix
−	kara_suffix
ー	kara_suffix
から	kara_suffix
くらい	MOD_APPROX
ばかり	MOD_APPROX
前後	MOD_APPROX
近く	MOD_APPROX
頃	MOD_APPROX
ごろ	MOD_APPROX
頭	MOD_START
前半	MOD_START
前記	MOD_START
初頭	MOD_START
初期	MOD_START
初め	MOD_START
始め	MOD_START
はじめ	MOD_START
後半	MOD_END
後期	MOD_END
終盤	MOD_END
終わり	MOD_END
末	MOD_END
半ば	MOD_MID
中期	MOD_MID
中盤	MOD_MID
中頃	MOD_MID
中ごろ	MOD_MID
中旬	MOD_MID
上旬	joujun
中旬	tyujun
下旬	gejun
PM	gogo
AM	gozen
ＰＭ	gogo
ＡＭ	gozen
 PM	gogo
 AM	gozen
　ＰＭ	gogo
　ＡＭ	gozen
未明	DN
朝	MO
昼	MI
日中	DT
午前	MO
午後	AF
夕方	EV
夜	NI
深夜	MN
春	SP
夏	SU
秋	FA
冬	WI
きっかり	MOD_JUST
ジャスト	MOD_JUST
