目	ordinary
以下	MOD_EQUAL_OR_LESS
以前	MOD_EQUAL_OR_LESS
以内	MOD_EQUAL_OR_LESS
まで	made
迄	made
未満	MOD_LESS_THAN
以上	MOD_EQUAL_OR_MORE
以降	MOD_EQUAL_OR_MORE
超	MOD_MORE_THAN
越え	MOD_MORE_THAN
超え	MOD_MORE_THAN
~	kara_suffix
〜	kara_suffix
～	kara_suffix
-	kara_suffix
−	kara_suffix
ー	kara_suffix
から	kara_suffix
くらい	MOD_APPROX
ばかり	MOD_APPROX
前後	MOD_APPROX
程度	MOD_APPROX
ほど	MOD_APPROX
近く	MOD_APPROX
頃	MOD_APPROX
ごろ	MOD_APPROX
余り	MOD_KYOU
強	MOD_KYOU
弱	MOD_JAKU
台	MOD_DAI
代	MOD_DAI
毎	per
半	han
／時	/h
／分	/min
／秒	/sec
/時	/h
/分	/min
/秒	/sec
